IDs,Repo,Pull Request,Organization,Primary Language,Root Cause,Manifestation,Category,Sub-Category,RAdd,REdit,RRemove,RAPI,w/o Tests,mergetime_minutes,num_commits,code_churn,files_changed,Pattern
1164,https://github.com/mozilla/remo,https://github.com/mozilla/remo/pull/359,mozilla,Python,Other,new feature,data processing,,1,,,,NO,21608.63333,1,404,10,NA
1167,https://github.com/mozilla/treeherder,https://github.com/mozilla/treeherder/pull/4216,mozilla,Python,Other,bad smells,,,,,5,,NO,2742.6,1,6873,35,NA
1167,https://github.com/mozilla/treeherder,https://github.com/mozilla/treeherder/pull/4216,mozilla,Python,Regex,incorrect behavior,T1 & T2,,,1,,1,YES,2742.6,1,6873,35,NA
1169,https://github.com/mozilla/fxa-auth-server,https://github.com/mozilla/fxa-auth-server/pull/1787,mozilla,JavaScript,Regex,bad smells,design smells,other,1,,,,YES,745.9166667,1,61,2,6
1170,https://github.com/mozilla/treeherder,https://github.com/mozilla/treeherder/pull/197,mozilla,Python,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NO,260.95,1,5,1,1
1183,https://github.com/mozilla/pdf.js,https://github.com/mozilla/pdf.js/pull/9288,mozilla,JavaScript,Other,other failures,,,2,,,,YES,3429.516666,1,46,4,NA
1187,https://github.com/mozilla/minion-frontend,https://github.com/mozilla/minion-frontend/pull/110,mozilla,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,NO,8622,2,2,1,NA
1192,https://github.com/mozilla/treeherder,https://github.com/mozilla/treeherder/pull/2134,mozilla,Python,Regex,incorrect behavior,T1 & T2,,,1,,,NO,9.283333333,1,2,1,NA
1196,https://github.com/mozilla/addons-frontend,https://github.com/mozilla/addons-frontend/pull/6761,mozilla,JavaScript,Other,bad smells,,,,3,,,YES,5319.9,6,65,5,NA
1198,https://github.com/mozilla/mozillians,https://github.com/mozilla/mozillians/pull/1558,mozilla,Python,Other,other failures,,,5,,,,NO,20216.46666,1,19,4,NA
1199,https://github.com/mozilla/addons-linter,https://github.com/mozilla/addons-linter/pull/891,mozilla,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,1,YES,312.9333333,1,12,2,NA
1200,https://github.com/mozilla/persona,https://github.com/mozilla/persona/pull/2015,mozilla,JavaScript,Regex,incorrect behavior,accepting invalid strings (T2),,,1,,,NO,1822.233334,1,21,1,NA
1201,https://github.com/mozilla/butter,https://github.com/mozilla/butter/pull/191,mozilla,JavaScript,Other,new feature,regex configuration entry,,3,,,,NO,0.5333333334,1,35,5,NA
1213,https://github.com/mozilla/treeherder,https://github.com/mozilla/treeherder/pull/913,mozilla,Python,Regex,incorrect behavior,accepting invalid strings (T2),,,1,,1,NO,653.9666666,2,38,5,NA
1228,https://github.com/mozilla/butter,https://github.com/mozilla/butter/pull/761,mozilla,JavaScript,API,bad smells,code smells,exception handling,,,,2,NO,1031.733333,1,13,1,8
1232,https://github.com/mozilla/addons-server,https://github.com/mozilla/addons-server/pull/10352,mozilla,Python,API,bad smells,code smells,exception handling,,,,1,NO,804.4333334,2,5,1,NA
1236,https://github.com/mozilla/morgothv1,https://github.com/mozilla/morgothv1/pull/14,mozilla,JavaScript,Regex,incorrect behavior,accepting invalid strings (T2),,1,1,,,YES,83993.75001,4,25,4,"5, 6"
1239,https://github.com/mozilla/fxa-password-strength-checker,https://github.com/mozilla/fxa-password-strength-checker/pull/29,mozilla,JavaScript,Regex,bad smells,design smells,other,2,,1,,YES,6719.366667,2,34,2,NA
1245,https://github.com/mozilla/feedthefox,https://github.com/mozilla/feedthefox/pull/43,mozilla,Python,Regex,bad smells,code smells,unused/duplicated regex,,,1,,NO,1263.616667,1,7,1,NA
1249,https://github.com/mozilla/addons-frontend,https://github.com/mozilla/addons-frontend/pull/7363,mozilla,JavaScript,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,YES,49.91666666,1,25,2,NA
1253,https://github.com/mozilla/kuma,https://github.com/mozilla/kuma/pull/4377,mozilla,Python,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,YES,2800.416666,1,22,2,5
1255,https://github.com/mozilla/amo-validator,https://github.com/mozilla/amo-validator/pull/320,mozilla,Python,Regex,incorrect behavior,accepting invalid strings (T2),,,1,,,NA,11.83333333,1,4,1,NA
1264,https://github.com/mozilla/kuma,https://github.com/mozilla/kuma/pull/295,mozilla,Python,Regex,incorrect behavior,rejecting valid strings (T1),,,1,,,YES,2673.566667,1,51,2,NA
1275,https://github.com/mozilla/treeherder,https://github.com/mozilla/treeherder/pull/3727,mozilla,Python,Other,other failures,,,1,,,,NO,5566.05,1,11,1,NA
